# Chi2 Rg SupportVolume
3.87954e+02 1.45331e+02 6.49648e+07
3.87556e+02 1.45322e+02 6.49648e+07
3.87160e+02 1.45313e+02 6.49648e+07
3.86764e+02 1.45304e+02 6.49648e+07
3.86369e+02 1.45295e+02 6.49648e+07
3.85975e+02 1.45286e+02 6.49648e+07
3.85581e+02 1.45278e+02 6.49648e+07
3.85188e+02 1.45269e+02 6.49648e+07
3.84796e+02 1.45261e+02 6.49648e+07
3.84405e+02 1.45253e+02 6.49648e+07
3.84013e+02 1.45245e+02 6.49648e+07
3.83623e+02 1.45238e+02 6.49648e+07
3.83236e+02 1.45231e+02 6.49648e+07
3.82851e+02 1.45224e+02 6.49648e+07
3.82467e+02 1.45216e+02 6.49648e+07
3.82084e+02 1.45209e+02 6.49648e+07
3.81703e+02 1.45203e+02 6.49648e+07
3.81321e+02 1.45196e+02 6.49648e+07
3.80939e+02 1.45190e+02 6.49648e+07
3.80557e+02 1.45184e+02 6.49648e+07
3.80178e+02 1.45178e+02 6.49648e+07
3.79802e+02 1.45172e+02 6.49648e+07
3.79425e+02 1.45167e+02 6.49648e+07
3.79048e+02 1.45162e+02 6.49648e+07
3.78671e+02 1.45156e+02 6.49648e+07
3.78294e+02 1.45151e+02 6.49648e+07
3.77918e+02 1.45145e+02 6.49648e+07
3.77544e+02 1.45140e+02 6.49648e+07
3.77170e+02 1.45134e+02 6.49648e+07
3.76796e+02 1.45128e+02 6.49648e+07
3.76421e+02 1.45123e+02 6.49648e+07
3.76049e+02 1.45117e+02 6.49648e+07
3.75678e+02 1.45111e+02 6.49648e+07
3.75308e+02 1.45106e+02 6.49648e+07
3.74937e+02 1.45100e+02 6.49648e+07
3.74566e+02 1.45095e+02 6.49648e+07
3.74194e+02 1.45089e+02 6.49648e+07
3.73822e+02 1.45084e+02 6.49648e+07
3.73450e+02 1.45079e+02 6.49648e+07
3.73079e+02 1.45073e+02 6.49648e+07
3.72709e+02 1.45068e+02 6.49648e+07
3.72341e+02 1.45062e+02 6.49648e+07
3.71974e+02 1.45056e+02 6.49648e+07
3.71607e+02 1.45051e+02 6.49648e+07
3.71241e+02 1.45045e+02 6.49648e+07
3.70873e+02 1.45039e+02 6.49648e+07
3.70507e+02 1.45034e+02 6.49648e+07
3.70142e+02 1.45029e+02 6.49648e+07
3.69776e+02 1.45023e+02 6.49648e+07
3.69412e+02 1.45019e+02 6.49648e+07
3.69048e+02 1.45014e+02 6.49648e+07
3.68684e+02 1.45009e+02 6.49648e+07
3.68321e+02 1.45004e+02 6.49648e+07
3.67957e+02 1.44999e+02 6.49648e+07
3.67592e+02 1.44994e+02 6.49648e+07
3.67228e+02 1.44990e+02 6.49648e+07
3.66863e+02 1.44986e+02 6.49648e+07
3.66497e+02 1.44982e+02 6.49648e+07
3.66133e+02 1.44978e+02 6.49648e+07
3.65768e+02 1.44974e+02 6.49648e+07
3.65402e+02 1.44970e+02 6.49648e+07
3.65038e+02 1.44966e+02 6.49648e+07
3.64678e+02 1.44962e+02 6.49648e+07
3.64316e+02 1.44958e+02 6.49648e+07
3.63955e+02 1.44955e+02 6.49648e+07
3.63595e+02 1.44951e+02 6.49648e+07
3.63235e+02 1.44947e+02 6.49648e+07
3.62875e+02 1.44943e+02 6.49648e+07
3.62520e+02 1.44939e+02 6.49648e+07
3.62166e+02 1.44935e+02 6.49648e+07
3.61813e+02 1.44930e+02 6.49648e+07
3.61462e+02 1.44926e+02 6.49648e+07
